"dataset_id","city","state","source","type","label","ward_name","ward_number","area_sq_km","perimeter_km","compactness","centroid_lon","centroid_lat","num_vertices"
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","SARASPUR-RAKHIYAL","27",3.06,9.3261,0.442113,72.615273,23.029801,87
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","BAPUNAGAR","26",2.6818,7.1191,0.664936,72.630883,23.032489,53
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","VIRATNAGAR","25",3.7454,11.7972,0.338186,72.644497,23.028875,110
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","NIKOL","24",11.4934,18.1642,0.43775,72.671071,23.047872,268
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","THAKKARBAPANAGAR","23",3.0964,9.3915,0.441163,72.649121,23.049475,147
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","INDIA COLONY","22",4.5731,11.2921,0.450678,72.623125,23.043694,79
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","DARIYAPUR","21",1.6207,7.4666,0.365315,72.589226,23.03399,133
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","JODHPUR","20",9.8722,18.008,0.382552,72.507837,23.018974,147
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","BODAKDEV","19",12.9536,24.9952,0.260547,72.506404,23.035488,263
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","NAVRANGPURA","18",12.0019,15.5793,0.62139,72.552666,23.030438,147
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","SHAHPUR","17",3.7812,9.7022,0.504776,72.582857,23.047376,65
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","SHAHIBAG","16",4.4345,12.3379,0.366077,72.598677,23.050013,143
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","ASARWA","15",2.4401,8.2276,0.452977,72.613089,23.049782,64
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","KUBERNAGR","14",2.2361,10.4784,0.255916,72.634526,23.069455,131
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","SAIJPUR BOGHA","13",3.1098,9.8914,0.399419,72.639131,23.060733,48
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","NARODA","12",13.8557,23.0354,0.328129,72.671309,23.08026,308
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","SARDARNAGAR","11",8.7215,24.3651,0.184613,72.643431,23.089393,276
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","S.P.STADIUM","10",5.2508,13.8644,0.34327,72.57473,23.058002,117
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","NARANPURA","9",4.9132,10.141,0.600354,72.552035,23.057469,153
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","THALTEJ","8",28.0264,37.8858,0.245372,72.491039,23.062385,414
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","GHATLODIA","7",3.005,9.1595,0.450107,72.545403,23.069679,112
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","NEW WADAJ","6",3.176,10.5249,0.360289,72.564814,23.070605,91
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","RANIP","5",7.5593,13.3142,0.53587,72.570503,23.087557,93
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","SABARMATI","4",9.7929,18.8198,0.347448,72.596091,23.092121,117
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","CHANDKHEDA","3",11.9184,16.8381,0.528254,72.589791,23.115428,134
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","CHANDLODIA","2",13.7109,21.9649,0.357122,72.551239,23.109186,147
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","GOTA","1",33.8139,31.3072,0.433528,72.519196,23.099712,319
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kempegowda Ward","1",11.3731,20.9504,0.325613,77.601515,13.114339,508
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Chowdeswari Ward","2",6.9603,14.4205,0.420607,77.578892,13.121913,408
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Someshwara Ward","3",3.8671,11.279,0.381999,77.574374,13.103724,316
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Atturu Layout","4",5.1464,13.0459,0.379987,77.555048,13.095731,368
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Yelahanka Satellite Town","5",4.0484,9.5564,0.557068,77.587716,13.091345,182
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Shettihalli","17",6.4958,14.7536,0.375011,77.513493,13.064464,471
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Mallasandra","20",1.2122,5.5056,0.502547,77.515264,13.054804,285
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Mattikere","59",0.9041,6.1969,0.295863,77.561135,13.032896,199
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Aramane Nagara","60",7.4735,15.8007,0.37617,77.577051,13.015332,404
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Malleswaram","61",1.8097,7.5886,0.3949,77.561628,13.014428,195
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Chanakya","37",0.5343,4.3852,0.349141,77.555142,13.025463,168
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Peenya","41",2.8625,8.6175,0.484393,77.52682,13.028391,241
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Nelagadderanahalli","23",4.666,10.2854,0.55425,77.505607,13.022592,323
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Nandini Layout","53",0.9537,4.2587,0.660831,77.535036,13.015885,189
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Marappana Palya","50",1.9,5.9526,0.673829,77.54634,13.017752,196
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Subramanya Nagar","62",0.9413,4.357,0.623084,77.557133,13.007002,155
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kadu Malleshwara","64",1.3608,6.9789,0.3511,77.568511,13.002375,201
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Rajamahal Guttahalli","65",0.7207,4.1765,0.519225,77.579092,13.00138,136
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","New Bayappanahalli","119",3.6551,9.2775,0.533638,77.631091,12.989132,209
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Dattatreya Temple","132",0.7151,4.7576,0.397004,77.574164,12.996543,176
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Subhash Nagar","134",1.3175,7.6934,0.279709,77.568729,12.982608,273
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Gayithri Nagar","63",0.6458,4.9932,0.325505,77.560516,12.997427,209
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Hegganahalli","26",1.5024,8.0054,0.294588,77.50905,13.003193,488
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Sunkadakatte","27",1.2451,7.2872,0.294647,77.501048,12.997855,313
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Vijayanagara Krishnadevaraya","45",2.9588,10.0979,0.364646,77.515269,12.98516,443
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Shankar Matt","56",0.7511,5.0999,0.362913,77.533632,12.997595,203
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Shakthi Ganapathi Nagar","57",0.671,5.0436,0.331459,77.530966,12.993852,168
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Vrisabhavathi Nagar","58",0.7879,4.0307,0.609394,77.525938,12.988873,166
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kamakshipalya","145",0.9909,4.7647,0.54848,77.534276,12.986987,149
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Basaveshwara Nagar","144",0.8387,4.4876,0.523357,77.542491,12.991526,142
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Shivanagara","143",0.7351,3.9502,0.591984,77.549704,12.988242,136
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Rajaji Nagar","141",0.8286,5.0246,0.412413,77.550776,12.994213,158
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Sriramamandir","142",1.0587,5.3797,0.45967,77.555927,12.983751,194
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Prakash Nagar","140",0.5667,4.8773,0.29936,77.558243,12.993128,219
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Dayananda Nagar","139",0.4455,2.889,0.67075,77.564235,12.991084,142
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Okalipuram","135",0.8235,4.6604,0.476461,77.563861,12.982813,187
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Gandhinagar","133",1.9232,8.7056,0.318894,77.575763,12.981299,253
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Bharathi Nagar","130",0.6677,4.2327,0.468367,77.610615,12.988908,170
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Ulsoor","131",1.8584,6.749,0.512693,77.619192,12.97985,169
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Hoysala Nagar","120",1.5586,6.7293,0.432531,77.637195,12.979899,175
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Konena Agrahara","125",0.8932,5.0372,0.442377,77.657932,12.957198,160
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Chickpete","138",0.7129,4.141,0.522405,77.577288,12.970482,162
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Cottonpete","137",0.757,5.8293,0.279927,77.56628,12.970318,264
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Binnipete","136",0.7743,6.316,0.243905,77.559137,12.971881,280
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kengeri","33",2.5667,11.2289,0.255805,77.486336,12.923632,459
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Basavanagudi","210",1.1137,5.2648,0.504918,77.56886,12.937298,182
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Srinivasa Nagar","212",0.7181,5.8635,0.262466,77.557105,12.942213,181
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Srinagar","213",0.8409,6.3795,0.259637,77.552625,12.942599,226
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Girinagar","214",1.4141,6.6107,0.406626,77.544936,12.939046,243
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Bande Mutt","34",6.7782,23.8631,0.149579,77.484395,12.914505,708
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kudlu","243",3.3321,8.9208,0.526174,77.65877,12.888793,208
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Hudi","106",9.0042,15.8893,0.448173,77.722395,12.994981,342
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Bellanduru","115",9.5017,19.3402,0.319221,77.672906,12.939102,442
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Marathahalli","114",4.2524,13.5587,0.290678,77.696798,12.942594,336
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Garudachar Playa","107",2.3172,10.4705,0.265605,77.700622,12.99068,274
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","New Thippasandra","122",2.6283,9.5324,0.363477,77.660126,12.976438,321
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Jalakanteshwara Nagara","123",1.463,5.2809,0.659248,77.674375,12.979987,187
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Nagapura","51",1.7174,6.0766,0.584467,77.548455,13.00414,141
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Jai Maruthinagara","54",0.587,4.4533,0.371949,77.532942,13.007934,226
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Puneet Rajkumar","55",0.66,4.9785,0.334634,77.533647,13.001934,231
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Sampangiram Nagar","129",3.5457,13.8232,0.233186,77.596931,12.975556,319
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Old Thippasandra","121",2.0628,8.9149,0.32617,77.646974,12.973721,239
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Jeevanbhima Nagar","124",2.4734,9.3995,0.351804,77.650172,12.959117,280
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Veeramadakari","40",5.5336,12.9015,0.417767,77.535092,13.041729,275
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","HAL Airport","93",7.2876,18.9559,0.254864,77.672609,12.957159,634
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Lakshmi Devi Nagar","42",0.8077,5.8718,0.294398,77.525427,13.014715,286
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Doddagollarahatti","31",7.3677,21.5944,0.198545,77.481448,12.968982,605
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Ullal","32",5.1527,15.563,0.267336,77.488859,12.941459,507
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","T Dasarahalli","21",1.0936,6.0011,0.381602,77.513389,13.044958,286
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Chokkasandra","22",2.1946,9.0447,0.337106,77.505536,13.038067,380
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Rajagopal Nagar","24",1.8567,9.4209,0.26289,77.517821,13.023129,405
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Rajeshwari Nagar","25",1.2058,5.4213,0.515574,77.513341,13.010224,378
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Ranadheera Kanteerava","43",1.039,5.7874,0.389807,77.524465,13.006351,344
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Veera Sindhura Lakshamana","44",1.3856,8.749,0.227469,77.515476,12.998224,485
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Sir M. Vishweshwaraiah","46",3.6495,7.9804,0.720098,77.502535,12.979549,248
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Nalvadi Krishnaraja Wadior Park","47",3.4035,9.7772,0.447405,77.495466,12.957349,356
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Chatrapati Shivaji","36",1.7182,11.4952,0.163401,77.54332,13.02576,261
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Jnana Bharathi","48",9.9477,23.5052,0.226258,77.513149,12.943959,999
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Rajarajeshwari Nagar","49",7.545,18.5032,0.276934,77.521595,12.914163,950
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","C V Raman Nagar","117",3.044,12.5067,0.244548,77.658123,12.991293,286
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Lal Bahadur Nagar","118",3.777,10.1081,0.464532,77.649815,12.999711,326
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Hanumanth Nagar","211",1.1628,7.4616,0.262455,77.561372,12.944343,297
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Mahalakshimpuram","52",0.9436,6.4627,0.28392,77.541718,13.008598,261
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Vidyapeeta ward","216",0.8498,5.0756,0.414543,77.557362,12.930287,239
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Katriguppe","215",0.9683,4.6215,0.569669,77.550113,12.931194,133
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Anjanapura","224",11.2177,18.1359,0.428584,77.564423,12.858264,719
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Shantala Nagar","181",4.1323,11.2784,0.408236,77.606943,12.969452,233
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Yediyur","200",1.1515,6.1769,0.379262,77.576091,12.934473,174
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Jagajivanaram Nagar","167",0.6849,5.6835,0.26646,77.559015,12.964549,243
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Subramanyapura","218",8.7133,18.2768,0.327785,77.534292,12.897161,562
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Ibluru","229",3.4205,14.8141,0.195859,77.654968,12.909189,311
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Naganathapura","228",4.8708,11.1337,0.493784,77.66357,12.873278,324
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Chamundi Nagara","71",0.6608,6.1092,0.222484,77.59615,13.025271,278
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Hulimavu","239",4.7088,12.8011,0.361096,77.601999,12.876122,363
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Devaraj Urs Nagar","169",0.4579,3.2362,0.549456,77.548627,12.960763,125
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Puttenahalli - Sarakki Lake","241",1.3405,6.5309,0.39495,77.583185,12.898933,178
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Jogupalya","179",1.1769,6.0481,0.404297,77.631091,12.973027,168
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Domlur","178",2.265,7.9433,0.451112,77.636324,12.963651,182
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","RBI layout","222",1.8343,8.4813,0.320444,77.580061,12.889256,288
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Attiguppe","161",1.4053,7.4259,0.320242,77.530063,12.959713,264
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Bapuji Nagar","160",0.4546,3.3357,0.513466,77.543238,12.959139,131
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kanneshwara Rama","39",2.2704,12.4673,0.183557,77.548799,13.046991,341
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Padarayanapura","168",0.5078,3.4344,0.541017,77.552853,12.962538,108
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Yelachenahalli","220",1.0154,4.3761,0.666346,77.568113,12.902369,199
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","J P Park","38",1.3769,8.6617,0.230625,77.550988,13.035691,282
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Chalavadipalya","166",0.4401,3.6494,0.415288,77.566968,12.963854,138
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Devarachikkanahalli","236",1.793,9.9828,0.226089,77.622319,12.891976,351
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Vijayanagar","157",0.5442,4.5926,0.324203,77.548298,12.972407,182
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Mangammanapalya","231",1.0635,5.5551,0.433091,77.639202,12.900994,213
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Konanakunte","221",4.5078,14.2522,0.278877,77.561679,12.881361,596
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Arakere","238",2.3175,11.2108,0.231713,77.606119,12.886405,353
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Jaraganahalli","242",0.7488,5.1276,0.357897,77.57496,12.900216,211
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Chunchaghatta","223",2.9598,10.9783,0.308606,77.581169,12.877493,437
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Agara","230",3.6309,8.3513,0.654205,77.6443,12.913467,208
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Vikram Nagar","205",1.2579,7.1437,0.309756,77.556993,12.903418,258
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Gottigere","225",4.7669,12.183,0.403585,77.58476,12.854632,274
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Umamaheshwara Ward","201",1.2467,6.0689,0.425373,77.573939,12.924958,177
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kumaraswamy Layout","204",1.0201,6.3802,0.314917,77.564415,12.910765,210
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kempapura Agrahara","156",0.339,2.5392,0.660768,77.555605,12.972426,121
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Adugodi","187",2.075,8.214,0.386472,77.616689,12.935747,191
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kacharkanahalli","98",1.6317,8.4581,0.28661,77.628381,13.018627,278
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Ejipura","185",1.0573,5.9606,0.373963,77.62815,12.942245,196
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","HRBR Layout","99",2.0896,7.1891,0.508074,77.637502,13.019552,213
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kaval Bairasandra","74",2.0954,10.6802,0.230845,77.60444,13.021584,441
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Someshwara Nagar","176",1.4708,6.0826,0.499555,77.596071,12.936318,172
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Ashoka Pillar","175",1.6919,7.4333,0.384793,77.585107,12.941145,255
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Lakkasandra","188",1.7797,7.8648,0.361566,77.607677,12.944275,269
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Hombegowda Nagara","177",1.0876,5.5134,0.44964,77.596768,12.949168,232
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Vishveshwara Puram","174",2.4834,7.4325,0.56491,77.580123,12.950229,218
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Banasavadi","100",2.627,7.5126,0.584909,77.651138,13.013827,217
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Hennur","94",3.5687,13.4686,0.247217,77.629415,13.036585,584
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Pulikeshinagar","80",2.2175,10.6663,0.244935,77.610575,12.996693,348
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Kodigehalli","12",2.4362,8.5872,0.415176,77.574264,13.055879,251
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Jakkuru","8",11.6344,20.7954,0.338079,77.61733,13.067996,678
"bangalore","Bangalore","Karnataka","DataMeet","wards","BBMP Wards (2022)","Thanisandra","7",4.126,13.1771,0.298605,77.634006,13.06071,480
