category,id,geojson_file,source,year,description,display_name,state,label
city,kanpur,cities/kanpur.geojson,DataMeet,,"","Kanpur","Uttar Pradesh","Wards"
city,katihar,cities/katihar.geojson,DataMeet,,"","Katihar","Bihar","Wards"
city,kishangarh,cities/kishangarh.geojson,DataMeet,,"","Kishangarh","Rajasthan","Wards"
city,kochi,cities/kochi.geojson,DataMeet,,"","Kochi","Kerala","Wards"
city,kolkata,cities/kolkata.geojson,DataMeet,,"","Kolkata","West Bengal","Wards"
city,lucknow,cities/lucknow.geojson,DataMeet,,"","Lucknow","Uttar Pradesh","Wards"
city,mira_bhayandar,cities/mira_bhayandar.geojson,DataMeet,,"","Mira-Bhayandar","Maharashtra","Municipal Boundary"
city,mumbai,cities/mumbai.geojson,DataMeet,,"","Mumbai","Maharashtra","Administrative Wards (A-T)"
city,mumbai_v2,cities/mumbai_v2.geojson,MCGM/MPCB,,"","Mumbai","Maharashtra","Wards + Localities"
city,nagpur,cities/nagpur.geojson,SBM/AMRUT,,"","Nagpur","Maharashtra","Wards"
city,nmmc,cities/nmmc.geojson,DataMeet,,"","Navi Mumbai","Maharashtra","Wards"
city,patna,cities/patna.geojson,SBM/AMRUT,,"","Patna","Bihar","Wards"
city,pcmc,cities/pcmc.geojson,DataMeet,,"","Pimpri-Chinchwad","Maharashtra","Wards"
city,pune,cities/pune.geojson,DataMeet,,"","Pune","Maharashtra","Electoral Wards (2022)"
city,purnia,cities/purnia.geojson,DataMeet,,"","Purnia","Bihar","Wards"
city,surat,cities/surat.geojson,SBM/AMRUT,,"","Surat","Gujarat","Wards"
city,thane,cities/thane.geojson,SBM/AMRUT,,"","Thane","Maharashtra","Wards"
city,vadodara,cities/vadodara.geojson,DataMeet,,"","Vadodara","Gujarat","Wards"
city,vijayawada,cities/vijayawada.geojson,DataMeet,,"","Vijayawada","Andhra Pradesh","Wards"
city,visakhapatnam,cities/visakhapatnam.geojson,SBM/AMRUT,,"","Visakhapatnam","Andhra Pradesh","Wards"
city,aamdi,cities/aamdi.geojson,SBM/ramSeraph,,"","Aamdi","Chhattisgarh","Wards"
city,aarani,cities/aarani.geojson,SBM/ramSeraph,,"","Aarani","Tamil Nadu","Wards"
city,abhanpur,cities/abhanpur.geojson,SBM/ramSeraph,,"","Abhanpur","Chhattisgarh","Wards"
city,abohar,cities/abohar.geojson,SBM/ramSeraph,,"","Abohar","Punjab","Wards"
city,abu_road,cities/abu_road.geojson,SBM/ramSeraph,,"","Abu Road","Rajasthan","Wards"
city,achalpur,cities/achalpur.geojson,SBM/ramSeraph,,"","Achalpur","Maharashtra","Wards"
city,achhnera,cities/achhnera.geojson,SBM/ramSeraph,,"","Achhnera","Uttar Pradesh","Wards"
city,adampur,cities/adampur.geojson,SBM/ramSeraph,,"","Adampur","Punjab","Wards"
city,adbhar,cities/adbhar.geojson,SBM/ramSeraph,,"","Adbhar","Chhattisgarh","Wards"
city,addanki,cities/addanki.geojson,SBM/ramSeraph,,"","Addanki","Andhra Pradesh","Wards"
city,adibatla,cities/adibatla.geojson,SBM/ramSeraph,,"","Adibatla","Telangana","Wards"
city,adilabad,cities/adilabad.geojson,SBM/ramSeraph,,"","Adilabad","Telangana","Wards"
city,adirampattinam,cities/adirampattinam.geojson,SBM/ramSeraph,,"","Adirampattinam","Tamil Nadu","Wards"
city,adoni,cities/adoni.geojson,SBM/ramSeraph,,"","Adoni","Andhra Pradesh","Wards"
city,adoor,cities/adoor.geojson,SBM/ramSeraph,,"","Adoor","Kerala","Wards"
city,afzalgarh,cities/afzalgarh.geojson,SBM/ramSeraph,,"","Afzalgarh","Uttar Pradesh","Wards"
city,agar,cities/agar.geojson,SBM/ramSeraph,,"","Agar","Madhya Pradesh","Wards"
city,agartala,cities/agartala.geojson,LivingAtlas/ramSeraph,,"","Agartala","Tripura","Wards"
city,agarwal_mandi_tatiri,cities/agarwal_mandi_tatiri.geojson,SBM/ramSeraph,,"","Agarwal Mandi (Tatiri)","Uttar Pradesh","Wards"
city,agra,cities/agra.geojson,SBM/ramSeraph,,"","Agra","Uttar Pradesh","Wards"
city,agwanpur,cities/agwanpur.geojson,SBM/ramSeraph,,"","Agwanpur","Uttar Pradesh","Wards"
city,ahiwara,cities/ahiwara.geojson,SBM/ramSeraph,,"","Ahiwara","Chhattisgarh","Wards"
city,ahmadabad,cities/ahmadabad.geojson,SBM/ramSeraph,,"","Ahmadabad","Gujarat","Wards"
city,ahmedanagar,cities/ahmedanagar.geojson,SBM/ramSeraph,,"","Ahmedanagar","Maharashtra","Wards"
city,ahmedgarh,cities/ahmedgarh.geojson,SBM/ramSeraph,,"","Ahmedgarh","Punjab","Wards"
city,ahmedpur,cities/ahmedpur.geojson,SBM/ramSeraph,,"","Ahmedpur","Maharashtra","Wards"
city,ahraura,cities/ahraura.geojson,SBM/ramSeraph,,"","Ahraura","Uttar Pradesh","Wards"
city,ailum,cities/ailum.geojson,SBM/ramSeraph,,"","Ailum","Uttar Pradesh","Wards"
city,aishmuquam,cities/aishmuquam.geojson,SBM/ramSeraph,,"","Aishmuquam","Jammu & Kashmir","Wards"
city,aizawl,cities/aizawl.geojson,LivingAtlas/ramSeraph,,"","Aizawl","Mizoram","Wards"
city,ajaigarh,cities/ajaigarh.geojson,SBM/ramSeraph,,"","Ajaigarh","Madhya Pradesh","Wards"
city,ajara,cities/ajara.geojson,SBM/ramSeraph,,"","Ajara","Maharashtra","Wards"
city,ajhuwa,cities/ajhuwa.geojson,SBM/ramSeraph,,"","Ajhuwa","Uttar Pradesh","Wards"
city,ajmer,cities/ajmer.geojson,SBM/ramSeraph,,"","Ajmer","Rajasthan","Wards"
city,ajnala,cities/ajnala.geojson,SBM/ramSeraph,,"","Ajnala","Punjab","Wards"
city,akaltara,cities/akaltara.geojson,SBM/ramSeraph,,"","Akaltara","Chhattisgarh","Wards"
city,akbarpur,cities/akbarpur.geojson,SBM/ramSeraph,,"","Akbarpur","Uttar Pradesh","Wards"
city,akhnoor,cities/akhnoor.geojson,SBM/ramSeraph,,"","Akhnoor","Jammu & Kashmir","Wards"
city,akkalkot,cities/akkalkot.geojson,SBM/ramSeraph,,"","Akkalkot","Maharashtra","Wards"
city,aklera,cities/aklera.geojson,SBM/ramSeraph,,"","Aklera","Rajasthan","Wards"
city,akoda,cities/akoda.geojson,SBM/ramSeraph,,"","Akoda","Madhya Pradesh","Wards"
city,akola,cities/akola.geojson,SBM/ramSeraph,,"","Akola","Maharashtra","Wards"
city,akole,cities/akole.geojson,SBM/ramSeraph,,"","Akole","Maharashtra","Wards"
city,akot,cities/akot.geojson,SBM/ramSeraph,,"","Akot","Maharashtra","Wards"
city,alamela,cities/alamela.geojson,SBM/ramSeraph,,"","Alamela","Karnataka","Wards"
city,alampur_mp,cities/alampur_mp.geojson,SBM/ramSeraph,,"","Alampur","Madhya Pradesh","Wards"
city,alampur_tg,cities/alampur_tg.geojson,SBM/ramSeraph,,"","Alampur","Telangana","Wards"
city,aland,cities/aland.geojson,SBM/ramSeraph,,"","Aland","Karnataka","Wards"
city,alanthurai,cities/alanthurai.geojson,SBM/ramSeraph,,"","Alanthurai","Tamil Nadu","Wards"
city,alappuzha,cities/alappuzha.geojson,SBM/ramSeraph,,"","Alappuzha","Kerala","Wards"
city,alawalpur,cities/alawalpur.geojson,SBM/ramSeraph,,"","Alawalpur","Punjab","Wards"
city,aliganj,cities/aliganj.geojson,SBM/ramSeraph,,"","Aliganj","Uttar Pradesh","Wards"
city,aligarh,cities/aligarh.geojson,SBM/ramSeraph,,"","Aligarh","Uttar Pradesh","Wards"
city,alirajpur,cities/alirajpur.geojson,SBM/ramSeraph,,"","Alirajpur","Madhya Pradesh","Wards"
city,allagadda,cities/allagadda.geojson,SBM/ramSeraph,,"","Allagadda","Andhra Pradesh","Wards"
city,allahabad,cities/allahabad.geojson,LivingAtlas/ramSeraph,,"","Allahabad","Uttar Pradesh","Wards"
city,almora,cities/almora.geojson,SBM/ramSeraph,,"","Almora","Uttarakhand","Wards"
city,alot,cities/alot.geojson,SBM/ramSeraph,,"","Alot","Madhya Pradesh","Wards"
city,alur,cities/alur.geojson,SBM/ramSeraph,,"","Alur","Karnataka","Wards"
city,aluva,cities/aluva.geojson,SBM/ramSeraph,,"","Aluva","Kerala","Wards"
city,alwar,cities/alwar.geojson,SBM/ramSeraph,,"","Alwar","Rajasthan","Wards"
city,amadalavalasa,cities/amadalavalasa.geojson,SBM/ramSeraph,,"","Amadalavalasa","Andhra Pradesh","Wards"
city,amalapuram,cities/amalapuram.geojson,SBM/ramSeraph,,"","Amalapuram","Andhra Pradesh","Wards"
city,amalner,cities/amalner.geojson,SBM/ramSeraph,,"","Amalner","Maharashtra","Wards"
city,amangal,cities/amangal.geojson,SBM/ramSeraph,,"","Amangal","Telangana","Wards"
city,amanganj,cities/amanganj.geojson,SBM/ramSeraph,,"","Amanganj","Madhya Pradesh","Wards"
city,amanpur,cities/amanpur.geojson,SBM/ramSeraph,,"","Amanpur","Uttar Pradesh","Wards"
city,amarchinta,cities/amarchinta.geojson,SBM/ramSeraph,,"","Amarchinta","Telangana","Wards"
city,amargarh,cities/amargarh.geojson,SBM/ramSeraph,,"","Amargarh","Punjab","Wards"
city,amarkantak,cities/amarkantak.geojson,SBM/ramSeraph,,"","Amarkantak","Madhya Pradesh","Wards"
city,amarpatan,cities/amarpatan.geojson,SBM/ramSeraph,,"","Amarpatan","Madhya Pradesh","Wards"
city,amarwara,cities/amarwara.geojson,SBM/ramSeraph,,"","Amarwara","Madhya Pradesh","Wards"
city,ambagarh_chowki,cities/ambagarh_chowki.geojson,SBM/ramSeraph,,"","Ambagarh Chowki","Chhattisgarh","Wards"
city,ambah,cities/ambah.geojson,SBM/ramSeraph,,"","Ambah","Madhya Pradesh","Wards"
city,ambajogai,cities/ambajogai.geojson,SBM/ramSeraph,,"","Ambajogai","Maharashtra","Wards"
city,ambala,cities/ambala.geojson,SBM/ramSeraph,,"","Ambala","Haryana","Wards"
city,ambala_sadar,cities/ambala_sadar.geojson,SBM/ramSeraph,,"","Ambala Sadar","Haryana","Wards"
city,ambarnath,cities/ambarnath.geojson,SBM/ramSeraph,,"","Ambarnath","Maharashtra","Wards"
city,ambasamudram,cities/ambasamudram.geojson,SBM/ramSeraph,,"","Ambasamudram","Tamil Nadu","Wards"
city,ambehta,cities/ambehta.geojson,SBM/ramSeraph,,"","Ambehta","Uttar Pradesh","Wards"
city,ambikapur,cities/ambikapur.geojson,SBM/ramSeraph,,"","Ambikapur","Chhattisgarh","Wards"
city,ambur,cities/ambur.geojson,SBM/ramSeraph,,"","Ambur","Tamil Nadu","Wards"
city,amet,cities/amet.geojson,SBM/ramSeraph,,"","Amet","Rajasthan","Wards"
city,amgaon,cities/amgaon.geojson,SBM/ramSeraph,,"","Amgaon","Maharashtra","Wards"
city,amila,cities/amila.geojson,SBM/ramSeraph,,"","Amila","Uttar Pradesh","Wards"
city,amla,cities/amla.geojson,SBM/ramSeraph,,"","Amla","Madhya Pradesh","Wards"
city,amloh,cities/amloh.geojson,SBM/ramSeraph,,"","Amloh","Punjab","Wards"
city,amravati,cities/amravati.geojson,SBM/ramSeraph,,"","Amravati","Maharashtra","Wards"
city,amreli,cities/amreli.geojson,SBM/ramSeraph,,"","Amreli","Gujarat","Wards"
city,amritsar,cities/amritsar.geojson,SBM/ramSeraph,,"","Amritsar","Punjab","Wards"
city,anand,cities/anand.geojson,SBM/ramSeraph,,"","Anand","Gujarat","Wards"
city,anandpur,cities/anandpur.geojson,SBM/ramSeraph,,"","Anandpur","Odisha","Wards"
city,anantapur,cities/anantapur.geojson,SBM/ramSeraph,,"","Anantapur","Andhra Pradesh","Wards"
city,anapara,cities/anapara.geojson,SBM/ramSeraph,,"","Anapara","Uttar Pradesh","Wards"
city,anekal,cities/anekal.geojson,SBM/ramSeraph,,"","Anekal","Karnataka","Wards"
city,angamaly,cities/angamaly.geojson,SBM/ramSeraph,,"","Angamaly","Kerala","Wards"
city,angul,cities/angul.geojson,SBM/ramSeraph,,"","Angul","Odisha","Wards"
city,anjad,cities/anjad.geojson,SBM/ramSeraph,,"","Anjad","Madhya Pradesh","Wards"
city,anjangaon_surji,cities/anjangaon_surji.geojson,SBM/ramSeraph,,"","Anjangaon Surji","Maharashtra","Wards"
city,ankola,cities/ankola.geojson,SBM/ramSeraph,,"","Ankola","Karnataka","Wards"
city,annigeri,cities/annigeri.geojson,SBM/ramSeraph,,"","Annigeri","Karnataka","Wards"
city,annur,cities/annur.geojson,SBM/ramSeraph,,"","Annur","Tamil Nadu","Wards"
city,antagarh,cities/antagarh.geojson,SBM/ramSeraph,,"","Antagarh","Chhattisgarh","Wards"
city,antah,cities/antah.geojson,SBM/ramSeraph,,"","Antah","Rajasthan","Wards"
city,anthoor,cities/anthoor.geojson,SBM/ramSeraph,,"","Anthoor","Kerala","Wards"
city,antri,cities/antri.geojson,SBM/ramSeraph,,"","Antri","Madhya Pradesh","Wards"
city,antu,cities/antu.geojson,SBM/ramSeraph,,"","Antu","Uttar Pradesh","Wards"
city,anupgarh,cities/anupgarh.geojson,SBM/ramSeraph,,"","Anupgarh","Rajasthan","Wards"
city,anuppur,cities/anuppur.geojson,SBM/ramSeraph,,"","Anuppur","Madhya Pradesh","Wards"
city,anupshahr,cities/anupshahr.geojson,SBM/ramSeraph,,"","Anupshahr","Uttar Pradesh","Wards"
city,aonla,cities/aonla.geojson,SBM/ramSeraph,,"","Aonla","Uttar Pradesh","Wards"
city,ara,cities/ara.geojson,SBM/ramSeraph,,"","Ara","Bihar","Wards"
city,arakkonam,cities/arakkonam.geojson,SBM/ramSeraph,,"","Arakkonam","Tamil Nadu","Wards"
city,arang,cities/arang.geojson,SBM/ramSeraph,,"","Arang","Chhattisgarh","Wards"
city,aranthangi,cities/aranthangi.geojson,SBM/ramSeraph,,"","Aranthangi","Tamil Nadu","Wards"
city,arcot,cities/arcot.geojson,SBM/ramSeraph,,"","Arcot","Tamil Nadu","Wards"
city,ardhapur,cities/ardhapur.geojson,SBM/ramSeraph,,"","Ardhapur","Maharashtra","Wards"
city,ariyalur,cities/ariyalur.geojson,SBM/ramSeraph,,"","Ariyalur","Tamil Nadu","Wards"
city,arjunda,cities/arjunda.geojson,SBM/ramSeraph,,"","Arjunda","Chhattisgarh","Wards"
city,arjuni,cities/arjuni.geojson,SBM/ramSeraph,,"","Arjuni","Maharashtra","Wards"
city,arkalgud,cities/arkalgud.geojson,SBM/ramSeraph,,"","Arkalgud","Karnataka","Wards"
city,armoor,cities/armoor.geojson,SBM/ramSeraph,,"","Armoor","Telangana","Wards"
city,armori,cities/armori.geojson,SBM/ramSeraph,,"","Armori","Maharashtra","Wards"
city,arnia,cities/arnia.geojson,SBM/ramSeraph,,"","Arnia","Jammu & Kashmir","Wards"
city,arniwala_sheikh_subhanpur,cities/arniwala_sheikh_subhanpur.geojson,SBM/ramSeraph,,"","Arniwala Sheikh Subhanpur","Punjab","Wards"
city,aron,cities/aron.geojson,SBM/ramSeraph,,"","Aron","Madhya Pradesh","Wards"
city,arrah,cities/arrah.geojson,LivingAtlas/ramSeraph,,"","Arrah","Bihar","Wards"
city,arsikere,cities/arsikere.geojson,SBM/ramSeraph,,"","Arsikere","Karnataka","Wards"
city,aruppukkottai,cities/aruppukkottai.geojson,SBM/ramSeraph,,"","Aruppukkottai","Tamil Nadu","Wards"
city,arvi,cities/arvi.geojson,SBM/ramSeraph,,"","Arvi","Maharashtra","Wards"
city,arwal,cities/arwal.geojson,SBM/ramSeraph,,"","Arwal","Bihar","Wards"
city,ashoknagar,cities/ashoknagar.geojson,SBM/ramSeraph,,"","Ashoknagar","Madhya Pradesh","Wards"
city,ashta_mh,cities/ashta_mh.geojson,SBM/ramSeraph,,"","Ashta_Mh","Maharashtra","Wards"
city,ashti_b,cities/ashti_b.geojson,SBM/ramSeraph,,"","Ashti_B","Maharashtra","Wards"
city,ashti_w,cities/ashti_w.geojson,SBM/ramSeraph,,"","Ashti_W","Maharashtra","Wards"
city,asika,cities/asika.geojson,SBM/ramSeraph,,"","Asika","Odisha","Wards"
city,asind,cities/asind.geojson,SBM/ramSeraph,,"","Asind","Rajasthan","Wards"
city,assandh,cities/assandh.geojson,SBM/ramSeraph,,"","Assandh","Haryana","Wards"
city,atchampet,cities/atchampet.geojson,SBM/ramSeraph,,"","Atchampet","Telangana","Wards"
city,ateli,cities/ateli.geojson,SBM/ramSeraph,,"","Ateli","Haryana","Wards"
city,athagad,cities/athagad.geojson,SBM/ramSeraph,,"","Athagad","Odisha","Wards"
city,athana,cities/athana.geojson,SBM/ramSeraph,,"","Athana","Madhya Pradesh","Wards"
city,athmallik,cities/athmallik.geojson,SBM/ramSeraph,,"","Athmallik","Odisha","Wards"
city,athner,cities/athner.geojson,SBM/ramSeraph,,"","Athner","Madhya Pradesh","Wards"
city,atmakur_ap,cities/atmakur_ap.geojson,SBM/ramSeraph,,"","Atmakur","Andhra Pradesh","Wards"
city,atmakur_tg,cities/atmakur_tg.geojson,SBM/ramSeraph,,"","Atmakur","Telangana","Wards"
city,atrauli,cities/atrauli.geojson,SBM/ramSeraph,,"","Atrauli","Uttar Pradesh","Wards"
city,atrauliya,cities/atrauliya.geojson,SBM/ramSeraph,,"","Atrauliya","Uttar Pradesh","Wards"
city,atru,cities/atru.geojson,SBM/ramSeraph,,"","Atru","Rajasthan","Wards"
city,attabira,cities/attabira.geojson,SBM/ramSeraph,,"","Attabira","Odisha","Wards"
city,attibele,cities/attibele.geojson,SBM/ramSeraph,,"","Attibele","Karnataka","Wards"
city,attingal,cities/attingal.geojson,SBM/ramSeraph,,"","Attingal","Kerala","Wards"
city,attur,cities/attur.geojson,SBM/ramSeraph,,"","Attur","Tamil Nadu","Wards"
city,aundha_nagnath,cities/aundha_nagnath.geojson,SBM/ramSeraph,,"","Aundha Nagnath","Maharashtra","Wards"
city,aurad,cities/aurad.geojson,SBM/ramSeraph,,"","Aurad","Karnataka","Wards"
city,aurangabad_br,cities/aurangabad_br.geojson,SBM/ramSeraph,,"","Aurangabad","Bihar","Wards"
city,aurangabad_mh,cities/aurangabad_mh.geojson,SBM/ramSeraph,,"","Aurangabad","Maharashtra","Wards"
city,aurangabad_up,cities/aurangabad_up.geojson,SBM/ramSeraph,,"","Aurangabad","Uttar Pradesh","Wards"
city,auras,cities/auras.geojson,SBM/ramSeraph,,"","Auras","Uttar Pradesh","Wards"
city,ausa,cities/ausa.geojson,SBM/ramSeraph,,"","Ausa","Maharashtra","Wards"
city,avadi,cities/avadi.geojson,SBM/ramSeraph,,"","Avadi","Tamil Nadu","Wards"
city,awagarh,cities/awagarh.geojson,SBM/ramSeraph,,"","Awagarh","Uttar Pradesh","Wards"
city,awantipora,cities/awantipora.geojson,SBM/ramSeraph,,"","Awantipora","Jammu & Kashmir","Wards"
city,ayodhya,cities/ayodhya.geojson,SBM/ramSeraph,,"","Ayodhya","Uttar Pradesh","Wards"
city,babarpur_ajitmal,cities/babarpur_ajitmal.geojson,SBM/ramSeraph,,"","Babarpur Ajitmal","Uttar Pradesh","Wards"
city,babhulgaon,cities/babhulgaon.geojson,SBM/ramSeraph,,"","Babhulgaon","Maharashtra","Wards"
city,babugarh,cities/babugarh.geojson,SBM/ramSeraph,,"","Babugarh","Uttar Pradesh","Wards"
city,bachhrawan,cities/bachhrawan.geojson,SBM/ramSeraph,,"","Bachhrawan","Uttar Pradesh","Wards"
city,bachraoun,cities/bachraoun.geojson,SBM/ramSeraph,,"","Bachraoun","Uttar Pradesh","Wards"
city,bada_malhera,cities/bada_malhera.geojson,SBM/ramSeraph,,"","Bada Malhera","Madhya Pradesh","Wards"
city,badagaon_a,cities/badagaon_a.geojson,SBM/ramSeraph,,"","Badagaon_A","Madhya Pradesh","Wards"
city,badami,cities/badami.geojson,SBM/ramSeraph,,"","Badami","Karnataka","Wards"
city,badangpet,cities/badangpet.geojson,SBM/ramSeraph,,"","Badangpet","Telangana","Wards"
city,badarwas,cities/badarwas.geojson,SBM/ramSeraph,,"","Badarwas","Madhya Pradesh","Wards"
city,badawada,cities/badawada.geojson,SBM/ramSeraph,,"","Badawada","Madhya Pradesh","Wards"
city,bade_bacheli,cities/bade_bacheli.geojson,SBM/ramSeraph,,"","Bade Bacheli","Chhattisgarh","Wards"
city,badhni_kalan,cities/badhni_kalan.geojson,SBM/ramSeraph,,"","Badhni Kalan","Punjab","Wards"
city,badi,cities/badi.geojson,SBM/ramSeraph,,"","Badi","Madhya Pradesh","Wards"
city,badlaguda_jagir,cities/badlaguda_jagir.geojson,SBM/ramSeraph,,"","Badlaguda Jagir","Telangana","Wards"
city,badlapur,cities/badlapur.geojson,SBM/ramSeraph,,"","Badlapur","Uttar Pradesh","Wards"
city,badnagar,cities/badnagar.geojson,SBM/ramSeraph,,"","Badnagar","Madhya Pradesh","Wards"
city,badnawar,cities/badnawar.geojson,SBM/ramSeraph,,"","Badnawar","Madhya Pradesh","Wards"
city,badod,cities/badod.geojson,SBM/ramSeraph,,"","Badod","Madhya Pradesh","Wards"
city,badoda,cities/badoda.geojson,SBM/ramSeraph,,"","Badoda","Madhya Pradesh","Wards"
city,badoni,cities/badoni.geojson,SBM/ramSeraph,,"","Badoni","Madhya Pradesh","Wards"
city,badravati,cities/badravati.geojson,SBM/ramSeraph,,"","Badravati","Maharashtra","Wards"
city,badvel,cities/badvel.geojson,SBM/ramSeraph,,"","Badvel","Andhra Pradesh","Wards"
city,bagalkote,cities/bagalkote.geojson,SBM/ramSeraph,,"","Bagalkote","Karnataka","Wards"
city,bagbahara,cities/bagbahara.geojson,SBM/ramSeraph,,"","Bagbahara","Chhattisgarh","Wards"
