state_name,district_name,id
Central India Agency,Dhar,16
Central India Agency,Kukshi (Indore),13
Central India Agency,Amjhera (Gwalior),17
Rajputana Agency,Tonk,10
Central India Agency,Khaniadhana,27
Central India Agency,Datia,28
Central India Agency,Samthar,29
Central India Agency,Gwalior,26
Central India Agency,Nemawar (Indore),20
Central India Agency,Bhopal,25
Central India Agency,Narsinghgarh,22
Central India Agency,Khilchipur,23
Central India Agency,Shajapur (Gwalior),21
Central India Agency,Rajgarh,24
Bombay Presidency,Panch Mahals,3
Bombay Presidency,Bariya,38
Bombay Presidency,Pandu Mehwas,40
Bombay Presidency,Kadana,35
Bombay Presidency,Sunth,36
Bombay Presidency,Sanjeli,37
Bombay Presidency,Kaira,2
Bombay Presidency,Balasinor,33
Bombay Presidency,Lunavada,34
Bombay Presidency,Ahmedabad,1
North West Province,Lalitpur,38
Central Province,Saugor,6
Central Province,Makrai,1
Central Province,Hoshangabad,2
Berar,Akola,2
Berar,Buldana,1
Berar,Basim,6
Berar,Yeotmal (Wun),5
Berar,Amraoti,4
Berar,Ellichpur,3
Central Province,Nimar,1
Central Province,Betul,3
Central Province,Damoh,7
Central Province,Narsinghpur,5
Central Province,Jubbulpore,8
Central Province,Seoni,9
Central Province,Mandla,18
Central Province,Wardha,11
Central Province,Nagpur,10
Central Province,Bhandara,13
Central Province,Bilaspur,17
Central Province,Chanda,12
Central Province,Raipur,15
Central Province,Nandgaon,4
Central Province,Chhui Khadan,5
Central Province,Balaghat,14
Central Province,Kanker,6
Bombay Presidency,Chota Udepur,39
Bombay Presidency,Combay,41
Baroda,Baroda,3
Bombay Presidency,Surat,5
Baroda,Nawsari,4
Bombay Presidency,Sankheda Mehwas,42
Bombay Presidency,Mewas,43
Bombay Presidency,Broach,4
Bombay Presidency,Rajpipla,44
Bombay Presidency,Khandesh,8
Bombay Presidency,Dangs,45
Bombay Presidency,Bansda,46
Bombay Presidency,Dharampur,48
Bombay Presidency,Nasik,7
Bombay Presidency,Jawahar,49
Bombay Presidency,Thana,6
Bombay Presidency,Ahmednagar,9
Bombay Presidency,Janjira,50
Bombay Presidency,Kolaba,11
Bombay Presidency,Bhor,51
Bombay Presidency,Poona,10
Bombay Presidency,Phaltan,52
Bombay Presidency,Sawantvadi,62
Bombay Presidency,Ratnagiri,12
Bombay Presidency,Oundh,53
Bombay Presidency,Satara,13
Bombay Presidency,Miraj,58
Bombay Presidency,Kolhapur,56
Bombay Presidency,Akalkot,54
Bombay Presidency,Sholapur,14
Bombay Presidency,Kaladgi,15
Bombay Presidency,Ramdurg,61
Bombay Presidency,Mudhol,60
Bombay Presidency,Jamkhandi,59
Bombay Presidency,Jat,55
Bombay Presidency,Sangli,57
Bombay Presidency,Kanara,18
Bombay Presidency,Belgaum,17
Bombay Presidency,Savanur,63
Bombay Presidency,Dharwar,16
Mysore,Tumkur,3
Mysore,Chitaldroog,2
Mysore,Shimoga,1
Mysore,Kolar,4
Mysore,Bangalore,5
Mysore,Kadur,8
Mysore,Mysore,6
Mysore,Hassan,7
Madras Presidency,South Canara,1
Madras Presidency,Travancore,2
Madras Presidency,Cochin,1
Madras Presidency,Malabar,2
Madras Presidency,The Nilgiris,3
Madras Presidency,Tinnevelly,6
Madras Presidency,Madura,5
Madras Presidency,Pudukota,3
Madras Presidency,Tanjore,7
Madras Presidency,South Arcot,10
Madras Presidency,Coimbatore,4
Madras Presidency,Trichinopoly,8
Madras Presidency,Salem,9
Madras Presidency,North Arcot,11
Madras Presidency,Madras,13
Madras Presidency,Chingleput,12
Madras Presidency,Sandur,5
Madras Presidency,Bellary,16
Madras Presidency,Anantapur,15
Madras Presidency,Cuddapah,14
Madras Presidency,Banganpalle,4
Madras Presidency,Nellore,18
Madras Presidency,Kurnool,17
Madras Presidency,Kistna,19
Madras Presidency,Godavari,20
Madras Presidency,Vizagapatam,21
Central Province,Bastar,7
Hyderabad,Sirpur Tandur,5
Hyderabad,Elgandal,6
Hyderabad,Lingsugur,18
Hyderabad,Raichor,17
Hyderabad,Shorapur,16
Hyderabad,Gulbarga,11
Hyderabad,Bidar,8
Hyderabad,Naldrug,10
Hyderabad,Parbhaini,2
Hyderabad,Birh,9
Hyderabad,Aurangabad,1
Hyderabad,Nander,3
Hyderabad,Mehdak,7
Hyderabad,Indor,4
Hyderabad,Khamam,13
Hyderabad,Nagar Karnul,15
Hyderabad,Nalgonda,14
Bengal Province,Balasore,4
Bengal Province,Nilgiri,16
Bengal Province,Mohurbhun,17
Madras Presidency,Ganjam,22
Bengal Province,Cuttack,3
Central Province,Rairakhol,11
Central Province,Bamra,12
Central Province,Sonpur,10
Central Province,Kalahandi,8
Central Province,Sambalpur,16
Central Province,Patna,9
Central Province,Raigarh,14
Central Province,Sarangarh,13
Bengal Province,Pooree,1
Bengal Province,Noyagur,4
Bengal Province,Narsingpur,7
Bengal Province,Banki,2
Bengal Province,Atgur,11
Bengal Province,Tigria,10
Bengal Province,Baramba,9
Bengal Province,Khundpara,6
Bengal Province,Pal Lehera,14
Bengal Province,Talchere,13
Bengal Province,Atmullik,2
Bengal Province,Bad-Kundmals,1
Bengal Province,Duspulla,3
Bengal Province,Hindole,8
Bengal Province,Angul,5
Bengal Province,Keonjhur,15
Bengal Province,Dhenkanal,12
Bengal Province,Chang Bhakhar,1
Bengal Province,Korea,2
Bengal Province,Oodeypore,4
Bengal Province,Jushpore,5
Bengal Province,Sirgoojah,3
North West Province,Mirzapur,47
North West Province,Allahabad,48
Central India Agency,Jigni,44
Central India Agency,Beri,45
North West Province,Jalaun,36
North West Province,Banda,49
North West Province,Jhansi,37
Central India Agency,Sarila,43
North West Province,Hamirpur,39
Central India Agency,Maihar,41
Central India Agency,Ajaigarh,39
Central India Agency,Charkhari,34
Central India Agency,Chhatarpur,32
Central India Agency,Urchha,30
Central India Agency,Bijawar,31
Central India Agency,Nagode,38
Central India Agency,Panna,33
Central India Agency,Jaso,40
Central India Agency,Rewah,42
Central India Agency,Sohawal,37
Central India Agency,Koti,36
Central India Agency,Baraundha,35
North West Province,Bulandshahr,14
North West Province,Muttra,16
North West Province,Aligarh,15
Central India Agency,Baoni,46
North West Province,Etah,18
North West Province,Agra,17
North West Province,Mainpuri,19
North West Province,Etawah,35
North West Province,Farrukhabad,20
North West Province,Sitapur,23
North West Province,Hardoi,21
North West Province,Fatehpur,40
North West Province,Cawnpore,34
North West Province,Unao,33
North West Province,Lucknow,32
North West Province,Bara Banki,31
North West Province,Rae Bareli,41
North West Province,Pratabgarh,43
North West Province,Sultanpur,42
North West Province,Fyzabad,30
North West Province,Basti,26
North West Province,Gonda,25
North West Province,Bahraich,24
North West Province,Gorakhpur,27
North West Province,Ballia,28
North West Province,Ghazipur,45
North West Province,Benares,46
North West Province,Jaunpur,44
North West Province,Azamgarh,29
Bengal Province,Shahabad,11
Bengal Province,Dinagepore,11
Bengal Province,Malda,7
Bengal Province,Purnea,6
Bengal Province,Bhagalpur,5
Bengal Province,Champaran,1
Bengal Province,Muzaffarpur,3
Bengal Province,Darbhanga,4
Bengal Province,Saraikela,8
Bengal Province,Singhbhoom,4
Bengal Province,Manbhoom,3
Bengal Province,Sonthal Pergunnahs,8
Bengal Province,Moorshedabad,10
Bengal Province,Beerbhoom,9
Bengal Province,Nuddea,6
Bengal Province,Calcutta,4
Bengal Province,24 - Pergunnahs,5
Bengal Province,Howrah,2
Bengal Province,Hooghly,3
Bengal Province,Midnapore,1
Bengal Province,Burdwan,7
Bengal Province,Bankoorah,8
Bengal Province,Bonai,7
Bengal Province,Kharsawan,9
Bengal Province,Gangpore,6
Bengal Province,Hazaribagh,2
Bengal Province,Lohardugga,1
Bengal Province,Monghyr,9
Bengal Province,Patna,10
Bengal Province,Gya,12
Assam Province,Naga Hills,8
Assam Province,Nowgong,4
Assam Province,Sibsagar,7
Assam Province,Lakhimpur,6
Assam Province,Darrang,5
Assam Province,Garo Hills,2
Assam Province,Goalpara,1
Assam Province,Kamrup,3
Bengal Province,Darjeeling,12
Bengal Province,Cooch Behar,1
Bengal Province,Julpigoree,13
Bengal Province,Hill Tipperah,2
Assam Province,Khasi States,1
Assam Province,Cachar,10
Assam Province,Sylhet,11
Assam Province,Khasi and Jaintia Hills,9
Bengal Province,Runpur,5
Hyderabad,Atraf-i-Balda,12
Central Province,Sakti,15
Central Province,Kawardha,2
Bombay Presidency,Santalpur,23
Bombay Presidency,Surgana,47
Bombay Presidency,Wardhi,24
Manipoor,Manipoor,0
Jammu and kashmir,Jammu and kashmir,0
Unknown,Unknown,0
Rajputana Agency,Sirohee,15
Rann of kutch,Rann of kutch,0
Central Province,Khairagarh,3
Daman,Daman,0
Goa,Goa,0
Coorg,Coorg,0
Bengal Province,Saran,2
Chandernagore,Chandernagore,0
Sikkim,Sikkim,0
North east frontier agency,North east frontier agency,0
Looshai hills,Looshai hills,0
