source_district,dest_district,source_year,dest_year,filter_state
Agra,Agra,1991,2001,Uttar Pradesh
Agra,Agra,2001,2011,Uttar Pradesh
Agra,Agra,2011,2024,Uttar Pradesh
Ahmadabad,Ahmadabad,1971,1981,Gujarat
Ahmadabad,Ahmadabad,1971,1981,Gujarat
Ahmadabad,Ahmadabad,1981,1991,Gujarat
Ahmadabad,Ahmadabad,1981,1991,Gujarat
Ahmadabad,Ahmadabad,1991,2001,Gujarat
Ahmadabad,Ahmadabad,1991,2001,Gujarat
Ahmadabad,Ahmadabad,2001,2011,Gujarat
Ahmadabad,Ahmadabad,2001,2011,Gujarat
Ahmadabad,Ahmadabad,2011,2024,Gujarat
Ahmadabad,Botad,2011,2024,Gujarat
Ahmadnagar,Ahmednagar,1961,1971,Maharashtra
Ahmadnagar,Ahmadnagar,1981,1991,Maharashtra
Ahmadnagar,Ahmadnagar,1991,2001,Maharashtra
Ahmadnagar,Ahmadnagar,2001,2011,Maharashtra
Ahmadnagar,Ahmadnagar,2011,2024,Maharashtra
Ahmedabad,Ahmedabad,1951,1961,Gujarat
Ahmedabad,Ahmedabad,1951,1961,Gujarat
Ahmedabad,Ahmedabad,1951,1961,Gujarat
Ahmedabad,Ahmadabad,1961,1971,Gujarat
Ahmedabad,Gandhinagar,1961,1971,Gujarat
Ahmedabad,Ahmadabad,1961,1971,Gujarat
Ahmednagar,Ahmadnagar,1951,1961,Maharashtra
Ahmednagar,Ahmadnagar,1971,1981,Maharashtra
Aizawl,Aizawl,1981,1991,Mizoram
Aizawl,Aizawl,1981,1991,Mizoram
Aizawl,Aizawl,1981,1991,Mizoram
Aizawl,Aizawl,1981,1991,Mizoram
Aizawl,Aizawl,1981,1991,Mizoram
Aizawl,Aizawl,1981,1991,Mizoram
Aizawl,Aizawl,1981,1991,Mizoram
Aizawl,Mamit,1991,2001,Mizoram
Aizawl,Kolasib,1991,2001,Mizoram
Aizawl,Aizawl,1991,2001,Mizoram
Aizawl,Champhai,1991,2001,Mizoram
Aizawl,Serchhip,1991,2001,Mizoram
Aizawl,Aizawl,1991,2001,Mizoram
Aizawl,Champhai,1991,2001,Mizoram
Aizawl,Aizawl,2001,2011,Mizoram
Aizawl,Aizawl,2001,2011,Mizoram
Aizawl,Aizawl,2011,2024,Mizoram
Aizawl,Saitual,2011,2024,Mizoram
Ajmer,Ajmer,1951,1961,Rajasthan
Ajmer,Ajmer,1951,1961,Rajasthan
Ajmer,Ajmer,1961,1971,Rajasthan
Ajmer,Ajmer,1961,1971,Rajasthan
Ajmer,Ajmer,1971,1981,Rajasthan
Ajmer,Ajmer,1971,1981,Rajasthan
Ajmer,Ajmer,1981,1991,Rajasthan
Ajmer,Ajmer,1981,1991,Rajasthan
Ajmer,Ajmer,1991,2001,Rajasthan
Ajmer,Ajmer,1991,2001,Rajasthan
Ajmer,Ajmer,2001,2011,Rajasthan
Ajmer,Ajmer,2001,2011,Rajasthan
Ajmer,Ajmer,2011,2024,Rajasthan
Ajmer,Ajmer,2011,2024,Rajasthan
Akola,Akola,1951,1961,Maharashtra
Akola,Akola,1951,1961,Maharashtra
Akola,Akola,1961,1971,Maharashtra
Akola,Akola,1961,1971,Maharashtra
Akola,Akola,1971,1981,Maharashtra
Akola,Akola,1971,1981,Maharashtra
Akola,Akola,1981,1991,Maharashtra
Akola,Akola,1981,1991,Maharashtra
Akola,Akola,1991,2001,Maharashtra
Akola,Washim,1991,2001,Maharashtra
Akola,Akola,2001,2011,Maharashtra
Akola,Akola,2011,2024,Maharashtra
Alappuzha,Alappuzha,1991,2001,Kerala
Alappuzha,Alappuzha,2001,2011,Kerala
Alappuzha,Alappuzha,2011,2024,Kerala
Aligarh,Aligarh,1951,1961,Uttar Pradesh
Aligarh,Aligarh,1951,1961,Uttar Pradesh
Aligarh,Aligarh,1961,1971,Uttar Pradesh
Aligarh,Aligarh,1961,1971,Uttar Pradesh
Aligarh,Aligarh,1971,1981,Uttar Pradesh
Aligarh,Aligarh,1971,1981,Uttar Pradesh
Aligarh,Aligarh,1981,1991,Uttar Pradesh
Aligarh,Aligarh,1981,1991,Uttar Pradesh
Aligarh,Aligarh,1991,2001,Uttar Pradesh
Aligarh,Hathras,1991,2001,Uttar Pradesh
Aligarh,Aligarh,2001,2011,Uttar Pradesh
Aligarh,Aligarh,2011,2024,Uttar Pradesh
Alirajpur,Alirajpur,2011,2024,Madhya Pradesh
Allahabad,Allahabad,1951,1961,Uttar Pradesh
Allahabad,Allahabad,1951,1961,Uttar Pradesh
Allahabad,Allahabad,1961,1971,Uttar Pradesh
Allahabad,Allahabad,1961,1971,Uttar Pradesh
Allahabad,Allahabad,1971,1981,Uttar Pradesh
Allahabad,Allahabad,1971,1981,Uttar Pradesh
Allahabad,Allahabad,1981,1991,Uttar Pradesh
Allahabad,Allahabad,1981,1991,Uttar Pradesh
Allahabad,Allahabad,1991,2001,Uttar Pradesh
Allahabad,Kaushambi,1991,2001,Uttar Pradesh
Allahabad,Allahabad,2001,2011,Uttar Pradesh
Allahabad,Prayagraj,2011,2024,Uttar Pradesh
Alleppey,Alleppey,1961,1971,Kerala
Alleppey,Alleppey,1961,1971,Kerala
Alleppey,Alleppey,1971,1981,Kerala
Alleppey,Alleppey,1971,1981,Kerala
Alleppey,Alappuzha,1981,1991,Kerala
Alleppey,Pathanamthitta,1981,1991,Kerala
Almora,Pithoragarh,1951,1961,Uttarakhand
Almora,Almora,1951,1961,Uttarakhand
Almora,Almora,1951,1961,Uttarakhand
Almora,Pithoragarh,1951,1961,Uttarakhand
Almora,Almora,1961,1971,Uttarakhand
Almora,Almora,1961,1971,Uttarakhand
Almora,Almora,1971,1981,Uttarakhand
Almora,Almora,1971,1981,Uttarakhand
Almora,Almora,1981,1991,Uttarakhand
Almora,Almora,1981,1991,Uttarakhand
Almora,Bageshwar,1991,2001,Uttarakhand
Almora,Almora,1991,2001,Uttarakhand
Almora,Almora,2001,2011,Uttarakhand
Almora,Almora,2011,2024,Uttarakhand
Alwar,Alwar,1951,1961,Rajasthan
Alwar,Alwar,1961,1971,Rajasthan
Alwar,Alwar,1971,1981,Rajasthan
Alwar,Alwar,1981,1991,Rajasthan
Alwar,Alwar,1991,2001,Rajasthan
Alwar,Alwar,2001,2011,Rajasthan
Alwar,Alwar,2011,2024,Rajasthan
Ambala,Ambala,1951,1961,Chandigarh
Ambala,Chandigarh,1961,1971,Chandigarh
Ambala,Ambala,1951,1961,Haryana
Ambala,Ambala,1951,1961,Haryana
Ambala,Ambala,1951,1961,Haryana
Ambala,Ambala,1961,1971,Haryana
Ambala,Ambala,1961,1971,Haryana
Ambala,Ambala,1961,1971,Haryana
Ambala,Ambala,1971,1981,Haryana
Ambala,Ambala,1971,1981,Haryana
Ambala,Ambala,1971,1981,Haryana
Ambala,Ambala,1981,1991,Haryana
Ambala,Ambala,1981,1991,Haryana
Ambala,Yamunanagar,1981,1991,Haryana
Ambala,Panchkula,1991,2001,Haryana
Ambala,Ambala,1991,2001,Haryana
Ambala,Ambala,2001,2011,Haryana
Ambala,Ambala,2011,2024,Haryana
Ambedkar Nagar,Ambedkar Nagar,2001,2011,Uttar Pradesh
Ambedkar Nagar,Ambedkar Nagar,2011,2024,Uttar Pradesh
Amravati,Amravati,1951,1961,Maharashtra
Amravati,Amravati,1961,1971,Maharashtra
Amravati,Amravati,1971,1981,Maharashtra
Amravati,Amravati,1981,1991,Maharashtra
Amravati,Amravati,1991,2001,Maharashtra
Amravati,Amravati,2001,2011,Maharashtra
Amravati,Amravati,2011,2024,Maharashtra
Amreli,Amreli,1951,1961,Gujarat
Amreli,Amreli,1961,1971,Gujarat
Amreli,Amreli,1971,1981,Gujarat
Amreli,Amreli,1981,1991,Gujarat
Amreli,Amreli,1991,2001,Gujarat
Amreli,Amreli,2001,2011,Gujarat
Amreli,Amreli,2011,2024,Gujarat
Amritsar,Amritsar,1951,1961,Punjab
Amritsar,Amritsar,1951,1961,Punjab
Amritsar,Amritsar,1961,1971,Punjab
Amritsar,Amritsar,1961,1971,Punjab
Amritsar,Amritsar,1971,1981,Punjab
Amritsar,Amritsar,1971,1981,Punjab
Amritsar,Amritsar,1981,1991,Punjab
Amritsar,Amritsar,1981,1991,Punjab
Amritsar,Amritsar,1991,2001,Punjab
Amritsar,Amritsar,1991,2001,Punjab
Amritsar,Amritsar,2001,2011,Punjab
Amritsar,Tarn Taran,2001,2011,Punjab
Amritsar,Amritsar,2011,2024,Punjab
Anand,Anand,2001,2011,Gujarat
Anand,Anand,2011,2024,Gujarat
Anantapur,Anantapur,1951,1961,Andhra Pradesh
Anantapur,Anantapur,1951,1961,Andhra Pradesh
Anantapur,Anantapur,1961,1971,Andhra Pradesh
Anantapur,Anantapur,1961,1971,Andhra Pradesh
Anantapur,Anantapur,1971,1981,Andhra Pradesh
Anantapur,Anantapur,1971,1981,Andhra Pradesh
Anantapur,Anantapur,1981,1991,Andhra Pradesh
Anantapur,Anantapur,1981,1991,Andhra Pradesh
Anantapur,Anantapur,1991,2001,Andhra Pradesh
Anantapur,Anantapur,1991,2001,Andhra Pradesh
Anantapur,Anantapur,2001,2011,Andhra Pradesh
Anantapur,Anantapur,2001,2011,Andhra Pradesh
Anantapur,Anantapur,2011,2024,Andhra Pradesh
Anantapur,Sri Sathya Sai,2011,2024,Andhra Pradesh
Anantnag,Anantnag,1961,1971,Jammu & Kashmir
Anantnag,Anantnag,1961,1971,Jammu & Kashmir
Anantnag,Anantnag,1971,1981,Jammu & Kashmir
Anantnag,Anantnag,1971,1981,Jammu & Kashmir
Anantnag,Anantnag,1981,1991,Jammu & Kashmir
Anantnag,Anantnag,1981,1991,Jammu & Kashmir
Anantnag,Anantnag,1991,2001,Jammu & Kashmir
Anantnag,Anantnag,1991,2001,Jammu & Kashmir
Anantnag,Anantnag,2001,2011,Jammu & Kashmir
Anantnag,Kulgam,2001,2011,Jammu & Kashmir
Anantnag,Anantnag,2011,2024,Jammu & Kashmir
Andaman,Andamans,1981,1991,Andaman and Nicobar Islands
Andaman,Andamans,1981,1991,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman and Nicobar Islands,1951,1961,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman and Nicobar Islands,1951,1961,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman and Nicobar Islands,1951,1961,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman and Nicobar Islands,1961,1971,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman and Nicobar Islands,1961,1971,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman and Nicobar Islands,1961,1971,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Nicobar,1971,1981,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman,1971,1981,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman,1971,1981,Andaman and Nicobar Islands
Andamans,Andamans,1991,2001,Andaman and Nicobar Islands
Andamans,Andamans,1991,2001,Andaman and Nicobar Islands
Andamans,North & Middle Andaman,2001,2011,Andaman and Nicobar Islands
Andamans,South Andaman,2001,2011,Andaman and Nicobar Islands
Anjaw,Anjaw,2011,2024,Arunachal Pradesh
Annupur,Annupur,2011,2024,Madhya Pradesh
Anugul,Anugul,2001,2011,Odisha
Anugul,Anugul,2011,2024,Odisha
Araria,Araria,1991,2001,Bihar
Araria,Araria,2001,2011,Bihar
Araria,Araria,2011,2024,Bihar
Ariyalur,Ariyalur,2011,2024,Tamil Nadu
Arwal,Arwal,2011,2024,Bihar
Ashoknagar,Ashoknagar,2011,2024,Madhya Pradesh
Auraiya,Auraiya,2001,2011,Uttar Pradesh
Auraiya,Auraiya,2011,2024,Uttar Pradesh
Aurangabad,Aurangabad,1981,1991,Bihar
Aurangabad,Aurangabad,1991,2001,Bihar
Aurangabad,Aurangabad,2001,2011,Bihar
Aurangabad,Aurangabad,2011,2024,Bihar
Aurangabad,Aurangabad,1951,1961,Maharashtra
Aurangabad,Aurangabad,1951,1961,Maharashtra
Aurangabad,Aurangabad,1961,1971,Maharashtra
Aurangabad,Aurangabad,1961,1971,Maharashtra
Aurangabad,Aurangabad,1971,1981,Maharashtra
Aurangabad,Aurangabad,1971,1981,Maharashtra
Aurangabad,Aurangabad,1981,1991,Maharashtra
Aurangabad,Jalna,1981,1991,Maharashtra
Aurangabad,Aurangabad,1991,2001,Maharashtra
Aurangabad,Aurangabad,2001,2011,Maharashtra
Aurangabad,Sambhaji Nagar,2011,2024,Maharashtra
Azamgarh,Azamgarh,1951,1961,Uttar Pradesh
Azamgarh,Azamgarh,1951,1961,Uttar Pradesh
Azamgarh,Azamgarh,1961,1971,Uttar Pradesh
Azamgarh,Azamgarh,1961,1971,Uttar Pradesh
Azamgarh,Azamgarh,1971,1981,Uttar Pradesh
Azamgarh,Azamgarh,1971,1981,Uttar Pradesh
Azamgarh,Azamgarh,1981,1991,Uttar Pradesh
Azamgarh,Mau,1981,1991,Uttar Pradesh
Azamgarh,Azamgarh,1991,2001,Uttar Pradesh
Azamgarh,Azamgarh,2001,2011,Uttar Pradesh
Azamgarh,Azamgarh,2011,2024,Uttar Pradesh
Badgam,Badgam,1981,1991,Jammu & Kashmir
Badgam,Badgam,1991,2001,Jammu & Kashmir
Badgam,Badgam,2001,2011,Jammu & Kashmir
Badgam,Badgam,2011,2024,Jammu & Kashmir
Bagalkot,Bagalkot,2001,2011,Karnataka
Bagalkot,Bagalkot,2011,2024,Karnataka
Bageshwar,Bageshwar,2001,2011,Uttarakhand
Bageshwar,Bageshwar,2011,2024,Uttarakhand
Baghpat,Baghpat,2001,2011,Uttar Pradesh
Baghpat,Baghpat,2011,2024,Uttar Pradesh
Bahraich,Bahraich,1951,1961,Uttar Pradesh
Bahraich,Bahraich,1951,1961,Uttar Pradesh
Bahraich,Bahraich,1961,1971,Uttar Pradesh
Bahraich,Bahraich,1961,1971,Uttar Pradesh
Bahraich,Bahraich,1971,1981,Uttar Pradesh
Bahraich,Bahraich,1971,1981,Uttar Pradesh
Bahraich,Bahraich,1981,1991,Uttar Pradesh
Bahraich,Bahraich,1981,1991,Uttar Pradesh
Bahraich,Bahraich,1991,2001,Uttar Pradesh
Bahraich,Shrawasti,1991,2001,Uttar Pradesh
Bahraich,Bahraich,2001,2011,Uttar Pradesh
Bahraich,Bahraich,2011,2024,Uttar Pradesh
Baksa,Baksa,2011,2024,Assam
Baksa,Baksa,2011,2024,Assam
Baksa,Baksa,2011,2024,Assam
Baksa,Baksa,2011,2024,Assam
Baksa,Tamulpur,2011,2024,Assam
Balaghat,Balaghat,1951,1961,Madhya Pradesh
Balaghat,Balaghat,1961,1971,Madhya Pradesh
Balaghat,Balaghat,1971,1981,Madhya Pradesh
Balaghat,Balaghat,1981,1991,Madhya Pradesh
Balaghat,Balaghat,1991,2001,Madhya Pradesh
Balaghat,Balaghat,2001,2011,Madhya Pradesh
Balaghat,Balaghat,2011,2024,Madhya Pradesh
Balangir,Balangir,1981,1991,Odisha
Balangir,Balangir,1981,1991,Odisha
Balangir,Sonapur,1991,2001,Odisha
Balangir,Balangir,1991,2001,Odisha
Balangir,Balangir,2001,2011,Odisha
Balangir,Balangir,2011,2024,Odisha
Balasore,Balasore,1951,1961,Odisha
Balasore,Balasore,1951,1961,Odisha
Balasore,Balasore,1961,1971,Odisha
Balasore,Balasore,1961,1971,Odisha
Balasore,Baleshwar,1971,1981,Odisha
Balasore,Baleshwar,1971,1981,Odisha
Baleshwar,Baleshwar,1981,1991,Odisha
Baleshwar,Baleshwar,1981,1991,Odisha
Baleshwar,Baleshwar,1991,2001,Odisha
Baleshwar,Bhadrak,1991,2001,Odisha
Baleshwar,Baleshwar,2001,2011,Odisha
Baleshwar,Baleshwar,2011,2024,Odisha
Balipara Frontier Tract,Kameng Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Kameng Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Kameng Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Kameng Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh
Ballia,Ballia,1951,1961,Uttar Pradesh
Ballia,Ballia,1961,1971,Uttar Pradesh
Ballia,Ballia,1971,1981,Uttar Pradesh
Ballia,Ballia,1981,1991,Uttar Pradesh
Ballia,Ballia,1991,2001,Uttar Pradesh
Ballia,Ballia,2001,2011,Uttar Pradesh
Ballia,Ballia,2011,2024,Uttar Pradesh
Balrampur,Balrampur,2001,2011,Uttar Pradesh
Balrampur,Balrampur,2011,2024,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banas Kantha,Banas Kantha,1971,1981,Gujarat
Banas Kantha,Banas Kantha,1981,1991,Gujarat
Banas Kantha,Banas Kantha,1991,2001,Gujarat
Banas Kantha,Banas Kantha,2001,2011,Gujarat
Banas Kantha,Banas Kantha,2011,2024,Gujarat
Banaskantha,Banaskantha,1951,1961,Gujarat
Banaskantha,Banas Kantha,1961,1971,Gujarat
Banda,Banda,1951,1961,Uttar Pradesh
Banda,Banda,1951,1961,Uttar Pradesh
Banda,Banda,1961,1971,Uttar Pradesh
Banda,Banda,1961,1971,Uttar Pradesh
Banda,Banda,1971,1981,Uttar Pradesh
Banda,Banda,1971,1981,Uttar Pradesh
Banda,Banda,1981,1991,Uttar Pradesh
Banda,Banda,1981,1991,Uttar Pradesh
Banda,Banda,1991,2001,Uttar Pradesh
Banda,Chitrakoot,1991,2001,Uttar Pradesh
Banda,Banda,2001,2011,Uttar Pradesh
Banda,Banda,2011,2024,Uttar Pradesh
Bandipore,Bandipore,2011,2024,Jammu & Kashmir
Bangalore,Bangalore,1951,1961,Karnataka
Bangalore,Bangalore,1951,1961,Karnataka
Bangalore,Bangalore,1951,1961,Karnataka
Bangalore,Bangalore,1961,1971,Karnataka
Bangalore,Bangalore,1961,1971,Karnataka
Bangalore,Bangalore,1961,1971,Karnataka
Bangalore,Bangalore,1971,1981,Karnataka
Bangalore,Bangalore,1971,1981,Karnataka
Bangalore,Bangalore,1971,1981,Karnataka
Bangalore,Bangalore,1981,1991,Karnataka
Bangalore,Bangalore Rural,1981,1991,Karnataka
Bangalore,Bangalore Rural,1981,1991,Karnataka
Bangalore,Bangalore,1991,2001,Karnataka
Bangalore,Bangalore,2001,2011,Karnataka
Bangalore,Bangalore,2011,2024,Karnataka
Bangalore Rural,Bangalore Rural,1991,2001,Karnataka
Bangalore Rural,Bangalore Rural,1991,2001,Karnataka
Bangalore Rural,Bangalore Rural,2001,2011,Karnataka
Bangalore Rural,Ramanagara,2001,2011,Karnataka
Bangalore Rural,Bangalore Rural,2011,2024,Karnataka
Banka,Banka,2001,2011,Bihar
Banka,Banka,2011,2024,Bihar
Bankura,Bankura,1951,1961,West Bengal
Bankura,Bankura,1961,1971,West Bengal
Bankura,Bankura,1971,1981,West Bengal
Bankura,Bankura,1981,1991,West Bengal
Bankura,Bankura,1991,2001,West Bengal
Bankura,Bankura,2001,2011,West Bengal
Bankura,Bankura,2011,2024,West Bengal
Banswara,Banswara,1951,1961,Rajasthan
Banswara,Banswara,1961,1971,Rajasthan
Banswara,Banswara,1971,1981,Rajasthan
Banswara,Banswara,1981,1991,Rajasthan
Banswara,Banswara,1991,2001,Rajasthan
Banswara,Banswara,2001,2011,Rajasthan
Banswara,Banswara,2011,2024,Rajasthan
Bara Banki,Bara Banki,1951,1961,Uttar Pradesh
Bara Banki,Bara Banki,1961,1971,Uttar Pradesh
Bara Banki,Bara Banki,1971,1981,Uttar Pradesh
Bara Banki,Bara Banki,1981,1991,Uttar Pradesh
Bara Banki,Barabanki,1991,2001,Uttar Pradesh
Bara Banki,Bara Banki,2011,2024,Uttar Pradesh
Barabanki,Bara Banki,2001,2011,Uttar Pradesh
Baramula,Kupwara,1971,1981,Jammu & Kashmir
Baramula,Baramula,1971,1981,Jammu & Kashmir
Baramula,Baramula,1971,1981,Jammu & Kashmir
Baramula,Baramula,1971,1981,Jammu & Kashmir
Baramula,Baramula,1981,1991,Jammu & Kashmir
Baramula,Baramula,1981,1991,Jammu & Kashmir
Baramula,Baramula,1981,1991,Jammu & Kashmir
Baramula,Baramula,1991,2001,Jammu & Kashmir
Baramula,Baramula,1991,2001,Jammu & Kashmir
Baramula,Baramula,1991,2001,Jammu & Kashmir
Baramula,Baramula,2001,2011,Jammu & Kashmir
Baramula,Bandipore,2001,2011,Jammu & Kashmir
Baramula,Ganderbal,2001,2011,Jammu & Kashmir
Baramula,Baramula,2011,2024,Jammu & Kashmir
Baramulla,Baramula,1961,1971,Jammu & Kashmir
Baramulla,Baramula,1961,1971,Jammu & Kashmir
Baramulla,Baramula,1961,1971,Jammu & Kashmir
Baramulla,Baramula,1961,1971,Jammu & Kashmir
Baran,Baran,2001,2011,Rajasthan
Baran,Baran,2011,2024,Rajasthan
Barddhaman,Barddhaman,1981,1991,West Bengal
Barddhaman,Barddhaman,1981,1991,West Bengal
Barddhaman,Barddhaman,1981,1991,West Bengal
Barddhaman,Barddhaman,1991,2001,West Bengal
Barddhaman,Barddhaman,1991,2001,West Bengal
Barddhaman,Barddhaman,1991,2001,West Bengal
Barddhaman,Barddhaman,2001,2011,West Bengal
Barddhaman,Barddhaman,2001,2011,West Bengal
Barddhaman,Barddhaman,2001,2011,West Bengal
Barddhaman,Barddhaman,2011,2024,West Bengal
Barddhaman,Pashchim Barddhaman,2011,2024,West Bengal
Barddhaman,Purba Barddhaman,2011,2024,West Bengal
Bareilly,Bareilly,1951,1961,Uttar Pradesh
Bareilly,Bareilly,1961,1971,Uttar Pradesh
Bareilly,Bareilly,1971,1981,Uttar Pradesh
Bareilly,Bareilly,1981,1991,Uttar Pradesh
Bareilly,Bareilly,1991,2001,Uttar Pradesh
Bareilly,Bareilly,2001,2011,Uttar Pradesh
Bareilly,Bareilly,2011,2024,Uttar Pradesh
Bargarh,Bargarh,2001,2011,Odisha
Bargarh,Bargarh,2011,2024,Odisha
Barmer,Barmer,1951,1961,Rajasthan
Barmer,Barmer,1961,1971,Rajasthan
Barmer,Barmer,1971,1981,Rajasthan
Barmer,Barmer,1981,1991,Rajasthan
Barmer,Barmer,1991,2001,Rajasthan
Barmer,Barmer,2001,2011,Rajasthan
Barmer,Barmer,2011,2024,Rajasthan
Barnala,Sangrur,1951,1961,Punjab
Barnala,Barnala,2011,2024,Punjab
Baroda,Baroda,1951,1961,Gujarat
Baroda,Baroda,1951,1961,Gujarat
Baroda,Vadodara,1961,1971,Gujarat
Baroda,Vadodara,1961,1971,Gujarat
Barpeta,Barpeta,1991,2001,Assam
Barpeta,Barpeta,1991,2001,Assam
Barpeta,Barpeta,1991,2001,Assam
Barpeta,Barpeta,2001,2011,Assam
Barpeta,Baksa,2001,2011,Assam
Barpeta,Barpeta,2001,2011,Assam
Barpeta,Barpeta,2011,2024,Assam
Barpeta,Bajali,2011,2024,Assam
Barwani,Barwani,2001,2011,Madhya Pradesh
Barwani,Barwani,2011,2024,Madhya Pradesh
Bastar,Bastar,1951,1961,Chhattisgarh
Bastar,Bastar,1951,1961,Chhattisgarh
Bastar,Bastar,1951,1961,Chhattisgarh
Bastar,Bastar,1951,1961,Chhattisgarh
Bastar,Bastar,1951,1961,Chhattisgarh
Bastar,Bastar,1951,1961,Chhattisgarh
Bastar,Bastar,1951,1961,Chhattisgarh
Bastar,Bastar,1961,1971,Chhattisgarh
Bastar,Bastar,1961,1971,Chhattisgarh
Bastar,Bastar,1961,1971,Chhattisgarh
Bastar,Bastar,1961,1971,Chhattisgarh
Bastar,Bastar,1961,1971,Chhattisgarh
Bastar,Bastar,1961,1971,Chhattisgarh
Bastar,Bastar,1961,1971,Chhattisgarh
Bastar,Bastar,1971,1981,Chhattisgarh
Bastar,Bastar,1971,1981,Chhattisgarh
Bastar,Bastar,1971,1981,Chhattisgarh
Bastar,Bastar,1971,1981,Chhattisgarh
Bastar,Bastar,1971,1981,Chhattisgarh
Bastar,Bastar,1971,1981,Chhattisgarh
Bastar,Bastar,1971,1981,Chhattisgarh
Bastar,Bastar,1981,1991,Chhattisgarh
Bastar,Bastar,1981,1991,Chhattisgarh
Bastar,Bastar,1981,1991,Chhattisgarh
Bastar,Bastar,1981,1991,Chhattisgarh
Bastar,Bastar,1981,1991,Chhattisgarh
Bastar,Bastar,1981,1991,Chhattisgarh
Bastar,Bastar,1981,1991,Chhattisgarh
Bastar,Kanker,1991,2001,Chhattisgarh
Bastar,Bastar,1991,2001,Chhattisgarh
