ward,value
Jaipur (M Corp.) (Part) - Ward No.132,32
Jaipur (M Corp.) (Part) - Ward No.149,33
Jaipur (M Corp.) (Part) - Ward No.124,34
Jaipur (M Corp.) (Part) - Ward No.122,35
Jaipur (M Corp.) (Part) - Ward No.123,36
Jaipur (M Corp.) (Part) - Ward No.114,37
Jaipur (M Corp.) (Part) - Ward No.121,38
Jaipur (M Corp.) (Part) - Ward No.120,39
Jaipur (M Corp.) (Part) - Ward No.117,40
Jaipur (M Corp.) (Part) - Ward No.113,41
Jaipur (M Corp.) (Part) - Ward No.109,42
Jaipur (M Corp.) (Part) - Ward No.108,43
Jaipur (M Corp.) (Part) - Ward No.106,44
Jaipur (M Corp.) (Part) - Ward No.107,45
Jaipur (M Corp.) (Part) - Ward No.112,46
Jaipur (M Corp.) (Part) - Ward No.116,47
Jaipur (M Corp.) (Part) - Ward No.104,48
Jaipur (M Corp.) (Part) - Ward No.111,49
Jaipur (M Corp.) (Part) - Ward No.144,50
