ward,value
Kalyan-Dombivli (M Corp.) - Ward No.96,10
Kalyan-Dombivli (M Corp.) - Ward No.103,11
Kalyan-Dombivli (M Corp.) - Ward No.95,12
Kalyan-Dombivli (M Corp.) - Ward No.104,13
Kalyan-Dombivli (M Corp.) - Ward No.84,14
Kalyan-Dombivli (M Corp.) - Ward No.85,15
Kalyan-Dombivli (M Corp.) - Ward No.102,16
Kalyan-Dombivli (M Corp.) - Ward No.101,17
Kalyan-Dombivli (M Corp.) - Ward No.105,18
Kalyan-Dombivli (M Corp.) - Ward No.118,19
Kalyan-Dombivli (M Corp.) - Ward No.106,20
Kalyan-Dombivli (M Corp.) - Ward No.63,21
Kalyan-Dombivli (M Corp.) - Ward No.56,22
