ward,value
Dr. Vishnuvardhan Ward,21
Dharmagiri Ward,22
Srigandada Kaval,23
Chickpete,24
Kadugodi,25
Varthur,26
Agrahara Dasarahalli,27
Bharath Aikya Ward,28
Garudachar Palya,29
Vannarpet,30
Vidyaranyanagara,31
Kundalahalli,32
Kaveri Nagara,33
Neelasandra,34
Mahadevapura,35
Bhuvaneshwari Nagar,36
Whitefield,37
Jakkasandra,38
Gunjur,39
Rajarajeshwari Temple ward,40
Dodda Nekkundi,41
Bhattarahalli,42
Parvathi Nagar,43
Jagadish Nagar,44
Kodihalli,45
Devasandra,46
Bommanahalli,47
Chellakere,48
Mallathahalli,49
Ashwath Nagar,50
Belathur,51
Panathur,52
Nagapura,53
Kalkere,54
Austin Town,55
K Chennasandra,56
Ramaswamy Palya,57
Vignananagara,58
Cheluvadi Palya,59
Devaraj Urs Ward,60
Byadarahalli,61
Shivajinagar,62
Jogpalya,63
Nagavarapalya,64
Prakash Nagara,65
Hombegowda Nagara,66
K Kamaraj Ward,67
Ashoka Pillar,68
BHEL Ward,69
K.R Market,70
Rajarajeshwari Nagara,71
Bharathi Nagar,72
Domluru,73
Seshadripuram,74
Venkat Reddy Nagara,75
Ashokanagar,76
Srinivasa Nagara,77
Dr Rajkumar Ward,78
Kodandarampura,79
Herohalli,80
Bandi Reddy Circle Ward,81
Andrahalli,82
Attigupe,83
Dattatreya Ward,84
Bapuji Nagara,85
Chandra Layout,86
Swamy Vivekananda Ward,87
Sunkenahalli,88
SilverJubilee Park Ward,89
Hampi Nagar,90
Rajajinagara,91
Kengeri,92
Rajeshwarinagar,93
Kamakshipalya,94
Chamarajpet,95
Indiranagar,96
Vasanth Nagar,97
Shivanapalya,98
Gayathri Nagara,99
Muneshwara Block,100
G.M Palya,1
Kengal Hanumanthaiah West,2
Subramanyanagara,3
New Thippasandra,4
Nada prabhu Kempegowda Nagara,5
Jnana Bharathi Ward,6
Konena Agrahara,7
Jayamahal,8
Nehru Nagar,9
Ullal,10
Shivanagara,11
Krishnadevaraya ward,12
Shakthi Nagar,13
Sunkadakatte,14
K.G.Halli,15
Rajamahal,16
Chokkasandra,17
Freedom Fighter Ward,18
Kalyan Nagar,19
Hosakerehalli,20
Dodda Bidarakallu,21
Laggere,22
Srinagar,23
Pattegar Palya,24
Samadhana Nagar,25
Kathriguppe,26
Nagadevanahalli,27
T.R Shamanna Nagar,28
N.R Colony,29
Thyagarajnagar,30
Yediyuru,31
Kempambudhi Ward,32
Ittamadu,33
Marenahalli West,34
Kamakya Layout,35
Chikkalasandra,36
Devagiri Temple Ward,37
Ganesh Mandira Ward,38
Moodalapalya,39
Malleshwaram,40
Gali Anjaneya Temple Ward,41
Mahalakshmipuram,42
Kempegowda Layout,43
Rama Mandira,44
Kethamaranahalli,45
Nagasandra,46
Shakthi Ganapathi Nagara,47
Anubhava Nagara,48
Deepanjali Nagara,49
Hosahalli,50
Shivapura,51
Raja Mayura Varma Ward,52
Shankar Mutt,53
Nalwadi Krishnaraja Wadiyar Ward,54
Dr. Puneeth Rajkumar Ward,55
Adi Chunchanagiri Ward,56
Basaveshwara Nagara,57
Jai Maruthi Nagar,58
Kamalanagara,59
Vrishabhavathi Nagar,60
Ashoka Nagara,61
Hegganahalli,62
Sadashiva Nagara,63
Azad Nagar,64
Gopalpura,65
Cottonpete,66
Binnypete,67
IPD Salappa Ward,68
Da.Ra. Bendre Ward,69
